Dst Port,Protocol,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Std,Bwd IAT Std,Bwd IAT Max,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,Down/Up Ratio,Average Packet Size,Bwd Segment Size Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Fwd Seg Size Min,Active Mean,Active Min,Idle Std,Src IP,Dst IP,Timestamp,Label
80,6,0.0,5792.0,0.0,1932.5,2179.5470859791035,6715.227968331877,4262.3957113341785,9190.0,230.8757888256118,0.0,5792.0,919.9230769230768,1714.900408261777,2940883.4102564105,1.0,2.0,2.0,0.8571428571428571,919.9230769230768,1932.5,34102941.0,0.0,891.0,29200.0,20.0,0.0,0.0,0.0,104.18.197.154,192.168.10.50,22/04/2026 10:16:13 AM,DoS Hulk
1164,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18867.924528301886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,24.0,0.0,0.0,0.0,185.220.26.230,192.168.10.50,22/04/2026 10:16:13 AM,PortScan
5222,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29200.0,40.0,0.0,0.0,0.0,23.94.13.160,192.168.10.50,22/04/2026 10:16:13 AM,PortScan
443,6,25.56,306.69,15.62,495.88,439.0,65425.23,263079.82,460891.18,79.28,31.26,1433.64,310.7,336.28,139.85,0.0,1.0,0.0,0.53,104.27,30.3,0.0,2.0,3372.0,16384.0,40.0,88219.42,2420.02,23105.76,192.168.1.43,142.250.80.46,22/04/2026 10:16:13 AM,BENIGN
80,6,0.0,4344.0,0.0,1656.4285714285716,1947.6382156467405,83842.37917653663,96144.0555687142,225953.0,17.948211717105416,0.0,4344.0,761.6875,1480.0586348182292,2190573.5625,2.0,2.0,3.0,0.7777777777777778,761.6875,1656.428571428571,36234375.0,0.0,724.0,29200.0,20.0,0.0,0.0,0.0,185.220.173.239,192.168.10.50,22/04/2026 10:16:18 AM,DoS Hulk
443,6,7.62,157.87,23.75,250.46,128.43,449842.83,15065.59,219800.59,24.57,3.85,1160.31,350.68,66.19,276.34,0.0,1.0,0.0,1.81,782.84,7.17,0.0,7.0,4215.0,8192.0,20.0,4496.42,74778.2,17733.82,192.168.1.242,104.244.42.65,22/04/2026 10:16:18 AM,BENIGN
80,6,0.0,3525.0,0.0,881.25,1762.5,4582092.898751864,3378716.705238001,6435408.0,0.1772042189134847,0.0,3525.0,353.1818181818182,1057.502417792207,1118311.3636363638,1.0,2.0,1.0,0.5714285714285714,353.1818181818182,881.25,0.0,0.0,320.0,29200.0,32.0,13957.333333333334,775.0,3183629.859163279,198.51.37.173,192.168.10.50,22/04/2026 10:16:18 AM,DoS GoldenEye
32779,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21276.595744680853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,24.0,0.0,0.0,0.0,104.18.223.56,192.168.10.50,22/04/2026 10:16:18 AM,PortScan
80,6,0.0,1983.0,0.0,661.0,1144.885583803028,14833625.951654991,14862905.829250364,21019328.0,0.1427204778053244,0.0,1983.0,331.33333333333337,809.1505834309622,654724.6666666666,2.0,0.0,1.0,1.0,331.3333333333333,661.0,0.0,0.0,330.0,229.0,20.0,108.0,108.0,0.0,104.18.104.214,192.168.10.50,22/04/2026 10:16:25 AM,DoS Slowhttptest
80,6,0.0,0.0,0.0,0.0,0.0,63392082.71166323,77637262.80192038,109800958.0,0.0273208427540152,0.0,351.0,51.42857142857143,132.1411582902379,17461.285714285714,0.0,2.0,0.0,0.75,51.42857142857143,0.0,0.0,0.0,0.0,29200.0,32.0,5318.0,5318.0,0.0,185.220.37.76,192.168.10.50,22/04/2026 10:16:25 AM,DoS Slowhttptest
8080,6,12.96,899.62,3.39,1054.81,349.0,480463.44,246467.46,399475.45,70.39,37.01,176.17,600.4,161.31,154.98,0.0,1.0,0.0,1.5,463.38,26.75,0.0,5.0,4320.0,8192.0,32.0,49382.36,51928.05,17090.18,192.168.1.205,104.244.42.65,22/04/2026 10:16:25 AM,BENIGN
5280,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13157.894736842103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29200.0,40.0,0.0,0.0,0.0,45.33.29.193,192.168.10.50,22/04/2026 10:16:25 AM,PortScan
80,6,0.0,8760.0,0.0,2898.75,4129.722296958961,2314483.1309705125,12074.399750436183,21751.0,0.6995619343167309,0.0,8760.0,1055.909090909091,2692.7837066703096,7251084.090909091,1.0,2.0,1.0,0.5714285714285714,1055.909090909091,2898.75,0.0,0.0,1054.0,8192.0,20.0,40510.0,40510.0,0.0,104.18.13.198,192.168.10.50,22/04/2026 10:16:25 AM,DDoS
80,6,0.0,10220.0,0.0,1932.5,4097.113313053472,905580.8007501416,688991.5805630719,1544720.0,1.5631313585252793,0.0,10220.0,774.3333333333334,2636.902177790844,6953253.095238094,2.0,2.0,1.0,0.6666666666666666,774.3333333333334,1932.5,0.0,0.0,773.0,0.0,0.0,0.0,0.0,0.0,198.51.190.127,192.168.10.50,22/04/2026 10:16:31 AM,DDoS
